country,country_code,year,female_labor_force_participation_rate
Africa Eastern and Southern,AFE,2015.0,63.1971810737597
Afghanistan,AFG,2015.0,19.113
Africa Western and Central,AFW,2015.0,66.7249556679014
Angola,AGO,2015.0,73.933
Albania,ALB,2015.0,47.117
Arab World,ARB,2015.0,20.681454301284
United Arab Emirates,ARE,2015.0,48.183
Argentina,ARG,2015.0,47.498
Armenia,ARM,2015.0,53.826
Australia,AUS,2015.0,59.151
Austria,AUT,2015.0,54.827
Azerbaijan,AZE,2015.0,61.096
Burundi,BDI,2015.0,80.778
Belgium,BEL,2015.0,48.045
Benin,BEN,2015.0,72.007
Burkina Faso,BFA,2015.0,73.531
Bangladesh,BGD,2015.0,33.531
Bulgaria,BGR,2015.0,48.725
Bahrain,BHR,2015.0,43.369
"Bahamas, The",BHS,2015.0,70.291
Bosnia and Herzegovina,BIH,2015.0,38.824
Belarus,BLR,2015.0,58.668
Belize,BLZ,2015.0,48.253
Bolivia,BOL,2015.0,57.044
Brazil,BRA,2015.0,53.323
Barbados,BRB,2015.0,61.731
Brunei Darussalam,BRN,2015.0,57.383
Bhutan,BTN,2015.0,54.976
Botswana,BWA,2015.0,56.288
Central African Republic,CAF,2015.0,65.301
Canada,CAN,2015.0,60.969
Central Europe and the Baltics,CEB,2015.0,48.7086259720424
Switzerland,CHE,2015.0,62.36
Channel Islands,CHI,2015.0,51.239
Chile,CHL,2015.0,50.352
China,CHN,2015.0,62.605
Cote d'Ivoire,CIV,2015.0,59.228
Cameroon,CMR,2015.0,65.628
"Congo, Dem. Rep.",COD,2015.0,61.84
"Congo, Rep.",COG,2015.0,66.526
Colombia,COL,2015.0,55.255
Comoros,COM,2015.0,34.778
Cabo Verde,CPV,2015.0,51.843
Costa Rica,CRI,2015.0,50.06
Caribbean small states,CSS,2015.0,52.1720265690208
Cuba,CUB,2015.0,44.31
Cyprus,CYP,2015.0,59.097
Czechia,CZE,2015.0,51.187
Germany,DEU,2015.0,54.441
Djibouti,DJI,2015.0,17.785
Denmark,DNK,2015.0,56.837
Dominican Republic,DOM,2015.0,48.157
Algeria,DZA,2015.0,15.258
East Asia & Pacific (excluding high income),EAP,2015.0,60.7490886000682
Early-demographic dividend,EAR,2015.0,34.4715926647993
East Asia & Pacific,EAS,2015.0,59.6916484323044
Europe & Central Asia (excluding high income),ECA,2015.0,43.8770259708606
Europe & Central Asia,ECS,2015.0,50.2465494617249
Ecuador,ECU,2015.0,51.905
"Egypt, Arab Rep.",EGY,2015.0,22.813
Euro area,EMU,2015.0,50.4602794589774
Eritrea,ERI,2015.0,73.372
Spain,ESP,2015.0,52.62
Estonia,EST,2015.0,55.747
Ethiopia,ETH,2015.0,70.185
European Union,EUU,2015.0,50.2881483598504
Fragile and conflict affected situations,FCS,2015.0,54.6689169803174
Finland,FIN,2015.0,55.407
Fiji,FJI,2015.0,40.016
France,FRA,2015.0,50.957
Gabon,GAB,2015.0,41.453
United Kingdom,GBR,2015.0,56.722
Georgia,GEO,2015.0,58.678
Ghana,GHA,2015.0,65.049
Guinea,GIN,2015.0,47.185
"Gambia, The",GMB,2015.0,44.465
Guinea-Bissau,GNB,2015.0,56.11
Equatorial Guinea,GNQ,2015.0,53.596
Greece,GRC,2015.0,44.028
Guatemala,GTM,2015.0,38.437
Guam,GUM,2015.0,56.338
Guyana,GUY,2015.0,42.273
High income,HIC,2015.0,52.7562000694467
"Hong Kong SAR, China",HKG,2015.0,54.211
Honduras,HND,2015.0,46.551
Heavily indebted poor countries (HIPC),HPC,2015.0,60.3311448017554
Croatia,HRV,2015.0,46.662
Haiti,HTI,2015.0,61.695
Hungary,HUN,2015.0,49.901
IBRD only,IBD,2015.0,46.7361978430806
IDA & IBRD total,IBT,2015.0,47.558406060518
IDA total,IDA,2015.0,50.5629430747717
IDA blend,IDB,2015.0,50.469711393102
Indonesia,IDN,2015.0,50.772
IDA only,IDX,2015.0,50.6120498479123
India,IND,2015.0,26.582
Ireland,IRL,2015.0,54.809
"Iran, Islamic Rep.",IRN,2015.0,14.362
Iraq,IRQ,2015.0,14.178
Iceland,ISL,2015.0,72.787
Israel,ISR,2015.0,60.114
Italy,ITA,2015.0,39.391
Jamaica,JAM,2015.0,58.524
Jordan,JOR,2015.0,13.599
Japan,JPN,2015.0,49.41
Kazakhstan,KAZ,2015.0,65.46
Kenya,KEN,2015.0,71.356
Kyrgyz Republic,KGZ,2015.0,47.459
Cambodia,KHM,2015.0,73.417
"Korea, Rep.",KOR,2015.0,52.391
Kuwait,KWT,2015.0,49.648
Latin America & Caribbean (excluding high income),LAC,2015.0,51.0446931851262
Lao PDR,LAO,2015.0,56.202
Lebanon,LBN,2015.0,26.114
Liberia,LBR,2015.0,71.923
Libya,LBY,2015.0,34.132
St. Lucia,LCA,2015.0,63.495
Latin America & Caribbean,LCN,2015.0,50.8003879699869
Least developed countries: UN classification,LDC,2015.0,52.3707867392593
Low income,LIC,2015.0,53.6383844388404
Sri Lanka,LKA,2015.0,35.33
Lower middle income,LMC,2015.0,37.2243241242405
Low & middle income,LMY,2015.0,47.0938367753143
Lesotho,LSO,2015.0,54.532
Late-demographic dividend,LTE,2015.0,59.5375468208775
Lithuania,LTU,2015.0,54.428
Luxembourg,LUX,2015.0,54.247
Latvia,LVA,2015.0,54.029
"Macao SAR, China",MAC,2015.0,66.133
Morocco,MAR,2015.0,24.362
Moldova,MDA,2015.0,69.413
Madagascar,MDG,2015.0,83.249
Maldives,MDV,2015.0,38.573
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2015.0,21.0850188228097
Mexico,MEX,2015.0,43.928
Middle income,MIC,2015.0,46.6320133729633
North Macedonia,MKD,2015.0,42.307
Mali,MLI,2015.0,61.216
Malta,MLT,2015.0,43.02
Myanmar,MMR,2015.0,50.799
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2015.0,19.832171788223
Montenegro,MNE,2015.0,46.123
Mongolia,MNG,2015.0,53.429
Mozambique,MOZ,2015.0,78.143
Mauritania,MRT,2015.0,26.679
Mauritius,MUS,2015.0,46.371
Malawi,MWI,2015.0,62.23
Malaysia,MYS,2015.0,50.83
North America,NAC,2015.0,56.461722458007
Namibia,NAM,2015.0,56.351
New Caledonia,NCL,2015.0,57.768
Niger,NER,2015.0,61.705
Nigeria,NGA,2015.0,75.759
Nicaragua,NIC,2015.0,48.342
Netherlands,NLD,2015.0,60.755
Norway,NOR,2015.0,63.205
Nepal,NPL,2015.0,27.006
New Zealand,NZL,2015.0,62.855
OECD members,OED,2015.0,51.3684488000378
Oman,OMN,2015.0,29.621
Other small states,OSS,2015.0,48.8277737174907
Pakistan,PAK,2015.0,23.983
Panama,PAN,2015.0,51.485
Peru,PER,2015.0,67.657
Philippines,PHL,2015.0,48.67
Papua New Guinea,PNG,2015.0,48.779
Poland,POL,2015.0,49.527
Pre-demographic dividend,PRE,2015.0,61.7652465922342
Puerto Rico (US),PRI,2015.0,31.876
"Korea, Dem. People's Rep.",PRK,2015.0,77.608
Portugal,PRT,2015.0,53.7
Paraguay,PRY,2015.0,54.827
West Bank and Gaza,PSE,2015.0,17.998
Pacific island small states,PSS,2015.0,53.7542561061035
Post-demographic dividend,PST,2015.0,53.1520460294586
French Polynesia,PYF,2015.0,49.0
Qatar,QAT,2015.0,55.988
Romania,ROU,2015.0,42.473
Russian Federation,RUS,2015.0,55.555
Rwanda,RWA,2015.0,54.516
South Asia,SAS,2015.0,27.4756377114581
Saudi Arabia,SAU,2015.0,21.635
Sudan,SDN,2015.0,23.304
Senegal,SEN,2015.0,34.06
Singapore,SGP,2015.0,61.305
Solomon Islands,SLB,2015.0,82.568
Sierra Leone,SLE,2015.0,55.091
El Salvador,SLV,2015.0,45.09
"Somalia, Fed. Rep.",SOM,2015.0,20.942
Serbia,SRB,2015.0,43.295
Sub-Saharan Africa (excluding high income),SSA,2015.0,63.9668550593373
South Sudan,SSD,2015.0,71.806
Sub-Saharan Africa,SSF,2015.0,64.596291642113
Small states,SST,2015.0,50.1428725096958
Sao Tome and Principe,STP,2015.0,22.768
Suriname,SUR,2015.0,44.378
Slovak Republic,SVK,2015.0,51.931
Slovenia,SVN,2015.0,52.275
Sweden,SWE,2015.0,60.562
Eswatini,SWZ,2015.0,46.819
Syrian Arab Republic,SYR,2015.0,12.729
Chad,TCD,2015.0,50.481
East Asia & Pacific (IDA & IBRD countries),TEA,2015.0,60.5262891007353
Europe & Central Asia (IDA & IBRD countries),TEC,2015.0,48.4093987015069
Togo,TGO,2015.0,55.644
Thailand,THA,2015.0,61.068
Tajikistan,TJK,2015.0,23.907
Turkmenistan,TKM,2015.0,39.461
Latin America & the Caribbean (IDA & IBRD countries),TLA,2015.0,51.0509770433769
Timor-Leste,TLS,2015.0,61.298
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2015.0,19.8439233193227
Tonga,TON,2015.0,43.081
South Asia (IDA & IBRD),TSA,2015.0,27.4756377114581
Sub-Saharan Africa (IDA & IBRD countries),TSS,2015.0,64.596291642113
Trinidad and Tobago,TTO,2015.0,51.964
Tunisia,TUN,2015.0,26.072
Turkiye,TUR,2015.0,31.416
Tanzania,TZA,2015.0,80.123
Uganda,UGA,2015.0,73.722
Ukraine,UKR,2015.0,50.36
Upper middle income,UMC,2015.0,54.8653404973653
Uruguay,URY,2015.0,56.3
United States,USA,2015.0,55.938
Uzbekistan,UZB,2015.0,39.447
St. Vincent and the Grenadines,VCT,2015.0,54.737
"Venezuela, RB",VEN,2015.0,48.27
Virgin Islands (U.S.),VIR,2015.0,55.655
Viet Nam,VNM,2015.0,72.863
Vanuatu,VUT,2015.0,55.728
World,WLD,2015.0,48.5463086828544
Samoa,WSM,2015.0,41.422
"Yemen, Rep.",YEM,2015.0,5.207
South Africa,ZAF,2015.0,47.716
Zambia,ZMB,2015.0,51.787
Zimbabwe,ZWE,2015.0,60.384
Africa Eastern and Southern,AFE,2016.0,62.5959844832547
Afghanistan,AFG,2016.0,20.156
Africa Western and Central,AFW,2016.0,66.5614485140754
Angola,AGO,2016.0,73.697
Albania,ALB,2016.0,49.888
Arab World,ARB,2016.0,20.7174106547458
United Arab Emirates,ARE,2016.0,49.228
Argentina,ARG,2016.0,47.582
Armenia,ARM,2016.0,53.881
Australia,AUS,2016.0,59.381
Austria,AUT,2016.0,55.349
Azerbaijan,AZE,2016.0,62.043
Burundi,BDI,2016.0,81.001
Belgium,BEL,2016.0,47.81
Benin,BEN,2016.0,72.597
Burkina Faso,BFA,2016.0,73.267
Bangladesh,BGD,2016.0,33.497
Bulgaria,BGR,2016.0,47.437
Bahrain,BHR,2016.0,43.543
"Bahamas, The",BHS,2016.0,70.509
Bosnia and Herzegovina,BIH,2016.0,38.632
Belarus,BLR,2016.0,58.75
Belize,BLZ,2016.0,49.101
Bolivia,BOL,2016.0,56.919
Brazil,BRA,2016.0,53.522
Barbados,BRB,2016.0,62.528
Brunei Darussalam,BRN,2016.0,57.411
Bhutan,BTN,2016.0,54.892
Botswana,BWA,2016.0,56.68
Central African Republic,CAF,2016.0,65.301
Canada,CAN,2016.0,60.879
Central Europe and the Baltics,CEB,2016.0,48.771404289335
Switzerland,CHE,2016.0,62.934
Channel Islands,CHI,2016.0,51.517
Chile,CHL,2016.0,50.756
China,CHN,2016.0,62.326
Cote d'Ivoire,CIV,2016.0,58.173
Cameroon,CMR,2016.0,64.23
"Congo, Dem. Rep.",COD,2016.0,61.662
"Congo, Rep.",COG,2016.0,66.471
Colombia,COL,2016.0,54.719
Comoros,COM,2016.0,36.845
Cabo Verde,CPV,2016.0,51.941
Costa Rica,CRI,2016.0,46.018
Caribbean small states,CSS,2016.0,52.5247938365044
Cuba,CUB,2016.0,44.479
Cyprus,CYP,2016.0,58.281
Czechia,CZE,2016.0,51.735
Germany,DEU,2016.0,54.808
Djibouti,DJI,2016.0,17.959
Denmark,DNK,2016.0,57.677
Dominican Republic,DOM,2016.0,48.821
Algeria,DZA,2016.0,15.031
East Asia & Pacific (excluding high income),EAP,2016.0,60.4690152945379
Early-demographic dividend,EAR,2016.0,34.4723760285488
East Asia & Pacific,EAS,2016.0,59.5083991310146
Europe & Central Asia (excluding high income),ECA,2016.0,44.0817049741493
Europe & Central Asia,ECS,2016.0,50.4270132617854
Ecuador,ECU,2016.0,55.406
"Egypt, Arab Rep.",EGY,2016.0,23.072
Euro area,EMU,2016.0,50.654021782094
Eritrea,ERI,2016.0,73.273
Spain,ESP,2016.0,52.485
Estonia,EST,2016.0,56.295
Ethiopia,ETH,2016.0,68.148
European Union,EUU,2016.0,50.4648030294592
Fragile and conflict affected situations,FCS,2016.0,54.2516888488024
Finland,FIN,2016.0,54.982
Fiji,FJI,2016.0,38.51
France,FRA,2016.0,50.83
Gabon,GAB,2016.0,41.649
United Kingdom,GBR,2016.0,57.074
Georgia,GEO,2016.0,58.551
Ghana,GHA,2016.0,64.013
Guinea,GIN,2016.0,45.954
"Gambia, The",GMB,2016.0,44.377
Guinea-Bissau,GNB,2016.0,56.189
Equatorial Guinea,GNQ,2016.0,53.745
Greece,GRC,2016.0,44.091
Guatemala,GTM,2016.0,39.525
Guam,GUM,2016.0,56.36
Guyana,GUY,2016.0,42.902
High income,HIC,2016.0,52.9903480013617
"Hong Kong SAR, China",HKG,2016.0,54.28
Honduras,HND,2016.0,45.913
Heavily indebted poor countries (HIPC),HPC,2016.0,59.731617231874
Croatia,HRV,2016.0,45.148
Haiti,HTI,2016.0,61.827
Hungary,HUN,2016.0,50.839
IBRD only,IBD,2016.0,46.6145413470794
IDA & IBRD total,IBT,2016.0,47.4058032263275
IDA total,IDA,2016.0,50.2596582630496
IDA blend,IDB,2016.0,50.249362050414
Indonesia,IDN,2016.0,50.949
IDA only,IDX,2016.0,50.265054556204
India,IND,2016.0,26.575
Ireland,IRL,2016.0,55.533
"Iran, Islamic Rep.",IRN,2016.0,16.174
Iraq,IRQ,2016.0,14.65
Iceland,ISL,2016.0,72.997
Israel,ISR,2016.0,60.412
Italy,ITA,2016.0,40.069
Jamaica,JAM,2016.0,57.654
Jordan,JOR,2016.0,15.051
Japan,JPN,2016.0,50.208
Kazakhstan,KAZ,2016.0,65.205
Kenya,KEN,2016.0,71.417
Kyrgyz Republic,KGZ,2016.0,46.17
Cambodia,KHM,2016.0,75.918
"Korea, Rep.",KOR,2016.0,52.568
Kuwait,KWT,2016.0,49.532
Latin America & Caribbean (excluding high income),LAC,2016.0,51.2554537806146
Lao PDR,LAO,2016.0,56.106
Lebanon,LBN,2016.0,26.885
Liberia,LBR,2016.0,71.953
Libya,LBY,2016.0,34.111
St. Lucia,LCA,2016.0,63.595
Latin America & Caribbean,LCN,2016.0,50.9594393418127
Least developed countries: UN classification,LDC,2016.0,52.0148950397923
Low income,LIC,2016.0,53.1836456389197
Sri Lanka,LKA,2016.0,35.252
Lower middle income,LMC,2016.0,37.1478079569643
Low & middle income,LMY,2016.0,46.9595935402636
Lesotho,LSO,2016.0,53.146
Late-demographic dividend,LTE,2016.0,59.3306608494078
Lithuania,LTU,2016.0,55.606
Luxembourg,LUX,2016.0,53.625
Latvia,LVA,2016.0,54.863
"Macao SAR, China",MAC,2016.0,65.602
Morocco,MAR,2016.0,23.275
Moldova,MDA,2016.0,68.93
Madagascar,MDG,2016.0,83.137
Maldives,MDV,2016.0,38.986
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2016.0,21.2291491100509
Mexico,MEX,2016.0,43.988
Middle income,MIC,2016.0,46.5140198601427
North Macedonia,MKD,2016.0,41.114
Mali,MLI,2016.0,59.554
Malta,MLT,2016.0,44.653
Myanmar,MMR,2016.0,49.229
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2016.0,19.9015710635288
Montenegro,MNE,2016.0,45.699
Mongolia,MNG,2016.0,52.092
Mozambique,MOZ,2016.0,78.041
Mauritania,MRT,2016.0,26.447
Mauritius,MUS,2016.0,45.414
Malawi,MWI,2016.0,60.514
Malaysia,MYS,2016.0,50.986
North America,NAC,2016.0,56.5943264847355
Namibia,NAM,2016.0,55.497
New Caledonia,NCL,2016.0,56.622
Niger,NER,2016.0,61.334
Nigeria,NGA,2016.0,75.887
Nicaragua,NIC,2016.0,48.728
Netherlands,NLD,2016.0,60.816
Norway,NOR,2016.0,62.972
Nepal,NPL,2016.0,27.346
New Zealand,NZL,2016.0,64.048
OECD members,OED,2016.0,51.6219086453202
Oman,OMN,2016.0,30.269
Other small states,OSS,2016.0,48.8576442890041
Pakistan,PAK,2016.0,23.162
Panama,PAN,2016.0,52.16
Peru,PER,2016.0,67.721
Philippines,PHL,2016.0,48.19
Papua New Guinea,PNG,2016.0,49.008
Poland,POL,2016.0,49.64
Pre-demographic dividend,PRE,2016.0,61.5613753890598
Puerto Rico (US),PRI,2016.0,32.231
"Korea, Dem. People's Rep.",PRK,2016.0,77.484
Portugal,PRT,2016.0,53.484
Paraguay,PRY,2016.0,56.466
West Bank and Gaza,PSE,2016.0,17.435
Pacific island small states,PSS,2016.0,53.2376363399564
Post-demographic dividend,PST,2016.0,53.4011321771887
French Polynesia,PYF,2016.0,49.079
Qatar,QAT,2016.0,56.79
Romania,ROU,2016.0,42.123
Russian Federation,RUS,2016.0,55.684
Rwanda,RWA,2016.0,54.612
South Asia,SAS,2016.0,27.4711295642255
Saudi Arabia,SAU,2016.0,22.866
Sudan,SDN,2016.0,22.088
Senegal,SEN,2016.0,38.726
Singapore,SGP,2016.0,61.313
Solomon Islands,SLB,2016.0,82.447
Sierra Leone,SLE,2016.0,53.87
El Salvador,SLV,2016.0,45.811
"Somalia, Fed. Rep.",SOM,2016.0,20.967
Serbia,SRB,2016.0,45.271
Sub-Saharan Africa (excluding high income),SSA,2016.0,63.7153250037166
South Sudan,SSD,2016.0,71.609
Sub-Saharan Africa,SSF,2016.0,64.1673288530477
Small states,SST,2016.0,50.1916377306901
Sao Tome and Principe,STP,2016.0,22.844
Suriname,SUR,2016.0,45.14
Slovak Republic,SVK,2016.0,52.511
Slovenia,SVN,2016.0,52.113
Sweden,SWE,2016.0,60.691
Eswatini,SWZ,2016.0,46.965
Syrian Arab Republic,SYR,2016.0,12.802
Chad,TCD,2016.0,49.821
East Asia & Pacific (IDA & IBRD countries),TEA,2016.0,60.2445805152794
Europe & Central Asia (IDA & IBRD countries),TEC,2016.0,48.4962815144151
Togo,TGO,2016.0,55.686
Thailand,THA,2016.0,60.17
Tajikistan,TJK,2016.0,23.032
Turkmenistan,TKM,2016.0,39.273
Latin America & the Caribbean (IDA & IBRD countries),TLA,2016.0,51.2039985042131
Timor-Leste,TLS,2016.0,61.26
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2016.0,19.9175331429971
Tonga,TON,2016.0,42.935
South Asia (IDA & IBRD),TSA,2016.0,27.4711295642255
Sub-Saharan Africa (IDA & IBRD countries),TSS,2016.0,64.1673288530477
Trinidad and Tobago,TTO,2016.0,51.922
Tunisia,TUN,2016.0,26.647
Turkiye,TUR,2016.0,32.38
Tanzania,TZA,2016.0,80.164
Uganda,UGA,2016.0,71.587
Ukraine,UKR,2016.0,50.072
Upper middle income,UMC,2016.0,54.7997197137984
Uruguay,URY,2016.0,56.341
United States,USA,2016.0,56.095
Uzbekistan,UZB,2016.0,39.57
St. Vincent and the Grenadines,VCT,2016.0,55.3
"Venezuela, RB",VEN,2016.0,47.867
Virgin Islands (U.S.),VIR,2016.0,55.592
Viet Nam,VNM,2016.0,72.53
Vanuatu,VUT,2016.0,55.283
World,WLD,2016.0,48.4632199883405
Samoa,WSM,2016.0,41.385
"Yemen, Rep.",YEM,2016.0,5.117
South Africa,ZAF,2016.0,47.74
Zambia,ZMB,2016.0,51.893
Zimbabwe,ZWE,2016.0,60.441
Africa Eastern and Southern,AFE,2017.0,61.8408823637693
Afghanistan,AFG,2017.0,21.24
Africa Western and Central,AFW,2017.0,66.1944450713112
Angola,AGO,2017.0,73.461
Albania,ALB,2017.0,49.736
Arab World,ARB,2017.0,19.8966688504065
United Arab Emirates,ARE,2017.0,50.926
Argentina,ARG,2017.0,47.666
Armenia,ARM,2017.0,53.766
Australia,AUS,2017.0,59.877
Austria,AUT,2017.0,55.351
Azerbaijan,AZE,2017.0,62.213
Burundi,BDI,2017.0,81.087
Belgium,BEL,2017.0,47.974
Benin,BEN,2017.0,73.179
Burkina Faso,BFA,2017.0,73.0
Bangladesh,BGD,2017.0,36.676
Bulgaria,BGR,2017.0,49.604
Bahrain,BHR,2017.0,43.581
"Bahamas, The",BHS,2017.0,70.76
Bosnia and Herzegovina,BIH,2017.0,38.558
Belarus,BLR,2017.0,58.591
Belize,BLZ,2017.0,48.678
Bolivia,BOL,2017.0,59.112
Brazil,BRA,2017.0,54.353
Barbados,BRB,2017.0,62.517
Brunei Darussalam,BRN,2017.0,57.458
Bhutan,BTN,2017.0,54.815
Botswana,BWA,2017.0,57.102
Central African Republic,CAF,2017.0,65.308
Canada,CAN,2017.0,61.072
Central Europe and the Baltics,CEB,2017.0,49.2838846147927
Switzerland,CHE,2017.0,62.705
Channel Islands,CHI,2017.0,51.412
Chile,CHL,2017.0,51.739
China,CHN,2017.0,61.957
Cote d'Ivoire,CIV,2017.0,57.507
Cameroon,CMR,2017.0,62.821
"Congo, Dem. Rep.",COD,2017.0,61.492
"Congo, Rep.",COG,2017.0,66.458
Colombia,COL,2017.0,54.343
Comoros,COM,2017.0,38.973
Cabo Verde,CPV,2017.0,52.038
Costa Rica,CRI,2017.0,45.905
Caribbean small states,CSS,2017.0,52.5489161160958
Cuba,CUB,2017.0,44.641
Cyprus,CYP,2017.0,58.922
Czechia,CZE,2017.0,52.114
Germany,DEU,2017.0,55.138
Djibouti,DJI,2017.0,18.146
Denmark,DNK,2017.0,57.739
Dominican Republic,DOM,2017.0,49.009
Algeria,DZA,2017.0,14.919
East Asia & Pacific (excluding high income),EAP,2017.0,60.1188046304336
Early-demographic dividend,EAR,2017.0,34.5212476306705
East Asia & Pacific,EAS,2017.0,59.2748334813587
Europe & Central Asia (excluding high income),ECA,2017.0,44.1860218481217
Europe & Central Asia,ECS,2017.0,50.5150626044321
Ecuador,ECU,2017.0,56.173
"Egypt, Arab Rep.",EGY,2017.0,22.184
Euro area,EMU,2017.0,50.8112531456594
Eritrea,ERI,2017.0,73.159
Spain,ESP,2017.0,52.281
Estonia,EST,2017.0,57.006
Ethiopia,ETH,2017.0,66.108
European Union,EUU,2017.0,50.7052712896773
Fragile and conflict affected situations,FCS,2017.0,53.6294931714727
Finland,FIN,2017.0,55.027
Fiji,FJI,2017.0,38.501
France,FRA,2017.0,50.625
Gabon,GAB,2017.0,41.796
United Kingdom,GBR,2017.0,57.273
Georgia,GEO,2017.0,58.382
Ghana,GHA,2017.0,62.967
Guinea,GIN,2017.0,44.725
"Gambia, The",GMB,2017.0,44.498
Guinea-Bissau,GNB,2017.0,56.285
Equatorial Guinea,GNQ,2017.0,53.85
Greece,GRC,2017.0,43.828
Guatemala,GTM,2017.0,38.656
Guam,GUM,2017.0,56.404
Guyana,GUY,2017.0,43.543
High income,HIC,2017.0,53.210194928057
"Hong Kong SAR, China",HKG,2017.0,54.645
Honduras,HND,2017.0,45.758
Heavily indebted poor countries (HIPC),HPC,2017.0,59.0025493835559
Croatia,HRV,2017.0,45.236
Haiti,HTI,2017.0,62.02
Hungary,HUN,2017.0,51.062
IBRD only,IBD,2017.0,46.4333029895679
IDA & IBRD total,IBT,2017.0,47.2519118228944
IDA total,IDA,2017.0,50.1638978504008
IDA blend,IDB,2017.0,49.856462589568
Indonesia,IDN,2017.0,51.943
IDA only,IDX,2017.0,50.324381550919
India,IND,2017.0,26.578
Ireland,IRL,2017.0,55.589
"Iran, Islamic Rep.",IRN,2017.0,17.358
Iraq,IRQ,2017.0,11.334
Iceland,ISL,2017.0,72.592
Israel,ISR,2017.0,60.283
Italy,ITA,2017.0,40.578
Jamaica,JAM,2017.0,58.604
Jordan,JOR,2017.0,16.612
Japan,JPN,2017.0,51.031
Kazakhstan,KAZ,2017.0,65.018
Kenya,KEN,2017.0,68.685
Kyrgyz Republic,KGZ,2017.0,42.44
Cambodia,KHM,2017.0,76.417
"Korea, Rep.",KOR,2017.0,53.073
Kuwait,KWT,2017.0,49.868
Latin America & Caribbean (excluding high income),LAC,2017.0,51.6230931404152
Lao PDR,LAO,2017.0,56.02
Lebanon,LBN,2017.0,27.67
Liberia,LBR,2017.0,71.983
Libya,LBY,2017.0,34.08
St. Lucia,LCA,2017.0,63.695
Latin America & Caribbean,LCN,2017.0,51.2452858693284
